image_id,file_name,coco_url,flickr_url,license_url,width,height,person_x,person_y,person_width,person_height,person_box_area,home_objects,home_score
256731,000000256731.jpg,http://images.cocodataset.org/train2017/000000256731.jpg,http://farm3.staticflickr.com/2734/4328787520_a4fd5412d0_z.jpg,http://creativecommons.org/licenses/by/2.0/,640,480,0.665921875,0.0179375,0.227015625,0.677125,0.08946085742187503,chair;dining table;microwave;oven;refrigerator;sink;tv,57.894609
252998,000000252998.jpg,http://images.cocodataset.org/train2017/000000252998.jpg,http://farm6.staticflickr.com/5043/5307654241_1ca723e937_z.jpg,http://creativecommons.org/licenses/by/2.0/,640,259,0.689375,0.05637065637065637,0.31062500000000004,0.8967181467181468,0.14463042410714283,couch;dining table;microwave;oven;refrigerator;sink,56.446304
75842,000000075842.jpg,http://images.cocodataset.org/train2017/000000075842.jpg,http://farm4.staticflickr.com/3254/3145233357_5e0cbd9a63_z.jpg,http://creativecommons.org/licenses/by-nc-nd/2.0/,500,375,0.46516,0.22472,0.47192,0.7595466666666666,0.20967138506666663,chair;dining table;microwave;oven;refrigerator;sink,51.096714
510063,000000510063.jpg,http://images.cocodataset.org/train2017/000000510063.jpg,http://farm6.staticflickr.com/5173/5487708496_73dee30c41_z.jpg,http://creativecommons.org/licenses/by-nd/2.0/,640,427,0.65775,0.3704449648711944,0.29485937500000003,0.6295550351288056,0.11031501481996485,book;couch;dining table;microwave;sink;tv,50.10315
503567,000000503567.jpg,http://images.cocodataset.org/train2017/000000503567.jpg,http://farm1.staticflickr.com/46/133839334_d91034aae9_z.jpg,http://creativecommons.org/licenses/by-nc-nd/2.0/,500,382,0.00164,0.5075392670157068,0.36476,0.4709424083769634,0.10938778193717275,couch;dining table;microwave;oven;refrigerator,50.093878
507570,000000507570.jpg,http://images.cocodataset.org/train2017/000000507570.jpg,http://farm9.staticflickr.com/8063/8268543138_1fecc3c680_z.jpg,http://creativecommons.org/licenses/by-sa/2.0/,640,480,0.0,0.49341666666666667,0.25370312500000003,0.4962916666666667,0.0811131652018229,chair;dining table;microwave;oven;refrigerator;sink,49.811132
121748,000000121748.jpg,http://images.cocodataset.org/train2017/000000121748.jpg,http://farm4.staticflickr.com/3631/3632324445_ab05d7efa2_z.jpg,http://creativecommons.org/licenses/by-nc-sa/2.0/,480,640,0.006,0.136265625,0.5645625,0.8581093750000001,0.34369206624348964,bed;couch;dining table;refrigerator,48.436921
515210,000000515210.jpg,http://images.cocodataset.org/train2017/000000515210.jpg,http://farm9.staticflickr.com/8460/8048794801_43ffaa02a3_z.jpg,http://creativecommons.org/licenses/by-nc-nd/2.0/,640,190,0.861921875,0.0,0.138078125,1.0,0.09632630345394741,dining table;microwave;oven;refrigerator;sink,47.963263
295630,000000295630.jpg,http://images.cocodataset.org/train2017/000000295630.jpg,http://farm4.staticflickr.com/3660/3373349806_70c41d85d2_z.jpg,http://creativecommons.org/licenses/by-nd/2.0/,375,500,0.36392,0.393,0.53392,0.55032,0.10518295759999999,bed;chair;couch;dining table;tv,46.05183
1145,000000001145.jpg,http://images.cocodataset.org/train2017/000000001145.jpg,http://farm6.staticflickr.com/5476/9365887775_1800451498_z.jpg,http://creativecommons.org/licenses/by-nc-sa/2.0/,640,480,0.07078124999999999,0.11291666666666668,0.33034375,0.8764166666666667,0.15876247786458328,book;chair;couch;dining table;oven;refrigerator,45.587625
183247,000000183247.jpg,http://images.cocodataset.org/train2017/000000183247.jpg,http://farm1.staticflickr.com/158/439632518_ca01335e54_z.jpg,http://creativecommons.org/licenses/by-nc-sa/2.0/,640,480,0.268578125,0.025895833333333333,0.46115625,0.9639791666666666,0.2047246479492188,chair;couch;oven;remote;sink;tv,45.047246
224164,000000224164.jpg,http://images.cocodataset.org/train2017/000000224164.jpg,http://farm9.staticflickr.com/8102/8514237925_466c8b08ae_z.jpg,http://creativecommons.org/licenses/by-nc-sa/2.0/,640,480,0.064046875,0.15916666666666668,0.466859375,0.8292291666666666,0.20016316389973957,chair;couch;dining table;oven;refrigerator,45.001632
