image_id,file_name,coco_url,flickr_url,license_url,width,height,person_x,person_y,person_width,person_height,person_box_area,scene,context_objects,context_score,caption_hits_json,captions_json
190829,000000190829.jpg,http://images.cocodataset.org/train2017/000000190829.jpg,http://farm4.staticflickr.com/3565/3665756775_878bee043c_z.jpg,http://creativecommons.org/licenses/by/2.0/,640,480,0.6324062500000001,0.28160416666666666,0.36267187500000003,0.7183958333333333,0.13584198063151043,park,bench;bicycle,73.35842,"[""Separate men sitting on park benches playing on phone and reading."", ""Two men sit on park benches in a city street scene."", ""A park offers fresh air and a place to perch while reading or interacting with a phone."", ""Two men, one reading, one on his phone, sit on park benches near a flower bed."", ""Two men sitting on separate city benches at a park.""]","[""Separate men sitting on park benches playing on phone and reading."", ""Two men sit on park benches in a city street scene."", ""A park offers fresh air and a place to perch while reading or interacting with a phone."", ""Two men, one reading, one on his phone, sit on park benches near a flower bed."", ""Two men sitting on separate city benches at a park.""]"
15354,000000015354.jpg,http://images.cocodataset.org/train2017/000000015354.jpg,http://farm4.staticflickr.com/3214/2730663546_70551abeef_z.jpg,http://creativecommons.org/licenses/by-nc/2.0/,640,480,0.550390625,0.021270833333333336,0.449609375,0.9777291666666666,0.15628898632812493,park,bench,71.56289,"[""A woman reading a book on a park bench in front of a very large tree trunk."", ""A girl reads on a park bench in a park"", ""A young woman reads and listens to music on this park bench"", ""Woman sitting on park bench listening to music while reading."", ""Woman seated on a park bench, reading and listening to music player.""]","[""A woman reading a book on a park bench in front of a very large tree trunk."", ""A girl reads on a park bench in a park"", ""A young woman reads and listens to music on this park bench"", ""Woman sitting on park bench listening to music while reading."", ""Woman seated on a park bench, reading and listening to music player.""]"
542231,000000542231.jpg,http://images.cocodataset.org/train2017/000000542231.jpg,http://farm1.staticflickr.com/171/378941452_051bebe51e_z.jpg,http://creativecommons.org/licenses/by/2.0/,640,480,0.32359375,0.19775,0.291578125,0.7910208333333333,0.09298255322265629,park,kite,64.929826,"[""A pretty young woman holding a kite while standing in a park."", ""A woman holds a colorful kite in a city park"", ""A woman in a public park flying a kite."", ""A woman in a grassy field with a kite"", ""A woman in sunglasses posing with a kite at the park.""]","[""A pretty young woman holding a kite while standing in a park."", ""A woman holds a colorful kite in a city park"", ""A woman in a public park flying a kite."", ""A woman in a grassy field with a kite"", ""A woman in sunglasses posing with a kite at the park.""]"
334059,000000334059.jpg,http://images.cocodataset.org/train2017/000000334059.jpg,http://farm4.staticflickr.com/3435/3208569525_8b96d5d08a_z.jpg,http://creativecommons.org/licenses/by-nc-sa/2.0/,500,419,0.11864,0.26928400954653936,0.28248,0.6449403341288783,0.08873315632458237,park,bench;dog;frisbee,64.887332,"[""A man trying to catch a Frisbee in a park."", ""A man is catching a frisbee in a park."", ""A man is throwing a Frisbee in a park."", ""A guy is trying to catch a Frisbee in a park.""]","[""A man trying to catch a Frisbee in a park."", ""A man is catching a frisbee in a park."", ""A man in a black shirt prepares to catch a frisbee"", ""A man is throwing a Frisbee in a park."", ""A guy is trying to catch a Frisbee in a park.""]"
502288,000000502288.jpg,http://images.cocodataset.org/train2017/000000502288.jpg,http://farm4.staticflickr.com/3665/9428437310_1b46c32d98_z.jpg,http://creativecommons.org/licenses/by-nc/2.0/,605,640,0.04289256198347107,0.164421875,0.6170743801652893,0.78603125,0.15220878654442146,park,bench;frisbee,63.522088,"[""Men playing frisbee in a park on a sunny day"", ""A man is catching the frisbee in the park."", ""A bunch of people playing frisbee in a park."", ""Three guys playing in the park with a Frisbee""]","[""A man catching the disc during a game of Ultimate Frisbee."", ""Men playing frisbee in a park on a sunny day"", ""A man is catching the frisbee in the park."", ""A bunch of people playing frisbee in a park."", ""Three guys playing in the park with a Frisbee""]"
35725,000000035725.jpg,http://images.cocodataset.org/train2017/000000035725.jpg,http://farm4.staticflickr.com/3129/2637267009_e81b33b70a_z.jpg,http://creativecommons.org/licenses/by-nd/2.0/,640,480,0.551390625,0.09379166666666668,0.25615625,0.9062083333333333,0.0851388079427083,park,bench;frisbee,62.851388,"[""A man in a crowded park catches a frisbee."", ""People are in the park  chatting, walking the paths, and playing frisbee."", ""A man catching a frisbee in the park."", ""A child is playing with a frisbee in the park.""]","[""A man in a crowded park catches a frisbee."", ""A person playing frisbee raises his arms to make a catch."", ""People are in the park  chatting, walking the paths, and playing frisbee."", ""A man catching a frisbee in the park."", ""A child is playing with a frisbee in the park.""]"
301605,000000301605.jpg,http://images.cocodataset.org/train2017/000000301605.jpg,http://farm1.staticflickr.com/191/503981036_268afc4a40_z.jpg,http://creativecommons.org/licenses/by-sa/2.0/,640,480,0.616859375,0.27416666666666667,0.383140625,0.7146041666666666,0.19332608740234378,park,bench;bicycle,61.933261,"[""A street bustling with pedestrians next to a park."", ""A man talking on the phone in a park."", ""A man talking on his cell phone in the park"", ""Man holding phone in front of a busy park walkway.""]","[""A street bustling with pedestrians next to a park."", ""A man in glasses talking on his cell phone."", ""A man talking on the phone in a park."", ""A man talking on his cell phone in the park"", ""Man holding phone in front of a busy park walkway.""]"
286302,000000286302.jpg,http://images.cocodataset.org/train2017/000000286302.jpg,http://farm5.staticflickr.com/4015/4546344816_7dae2381c5_z.jpg,http://creativecommons.org/licenses/by-nc/2.0/,640,480,0.531390625,0.09629166666666666,0.341375,0.8878958333333333,0.16513131119791666,park,bench;dog,61.651313,"[""A woman sits on a park bench with her dog sitting on the ground."", ""Woman on park bench holding a St Bernard dog on a leash."", ""Woman sitting on bench with large dog on leash at urban park."", ""A woman sitting on a bench with her St Bernard dog on a leash at the park""]","[""A woman sits on a park bench with her dog sitting on the ground."", ""A woman sitting on a bench next to a  large dog."", ""Woman on park bench holding a St Bernard dog on a leash."", ""Woman sitting on bench with large dog on leash at urban park."", ""A woman sitting on a bench with her St Bernard dog on a leash at the park""]"
287361,000000287361.jpg,http://images.cocodataset.org/train2017/000000287361.jpg,http://farm5.staticflickr.com/4150/4833278511_a95ed7939d_z.jpg,http://creativecommons.org/licenses/by-nc/2.0/,640,480,0.000265625,0.017020833333333332,0.396578125,0.9826250000000001,0.11397573274739588,park,,61.139757,"[""A skateboarder is riding the ramps at a skate park."", ""A group of people skate boarding in a skate park."", ""A bunch of people hanging out at a skate park while a boy skateboards."", ""A park with a skateboarder up close and some skateboarders in the background."", ""A young man skateboarding at a skate park.""]","[""A skateboarder is riding the ramps at a skate park."", ""A group of people skate boarding in a skate park."", ""A bunch of people hanging out at a skate park while a boy skateboards."", ""A park with a skateboarder up close and some skateboarders in the background."", ""A young man skateboarding at a skate park.""]"
26488,000000026488.jpg,http://images.cocodataset.org/train2017/000000026488.jpg,http://farm6.staticflickr.com/5541/9102063887_5846d206e5_z.jpg,http://creativecommons.org/licenses/by-nd/2.0/,640,424,0.44498437500000004,0.22127358490566035,0.29285937500000003,0.6974292452830189,0.09535967533903306,park,bench;bicycle,60.953597,"[""An elderly man sitting on one of three park benches which are positioned side by side."", ""an old man sitting on a park beanch"", ""A man sits on a white wrought iron park bench in the city square."", ""A man sitting on a metal bench at a public park.""]","[""An elderly man sitting on one of three park benches which are positioned side by side."", ""an old man sitting on a park beanch"", ""A man sits on a white wrought iron park bench in the city square."", ""A man sitting on a metal bench at a public park."", ""An older man sitting at a bench near pigeons.""]"
