image_id,file_name,coco_url,flickr_url,license_url,width,height,person_x,person_y,person_width,person_height,person_box_area,scene,context_objects,context_score,caption_hits_json,captions_json
250195,000000250195.jpg,http://images.cocodataset.org/train2017/000000250195.jpg,http://farm4.staticflickr.com/3203/2715725233_e78a435fe9_z.jpg,http://creativecommons.org/licenses/by-nc-sa/2.0/,640,640,0.17978125,0.008984375,0.42021875,0.9797812499999999,0.21420580102539075,urban_street,bus;car;traffic light;truck,87.142058,"[""a person walking on a city street near a traffic light"", ""Man walking on rainy street with cars and buildings"", ""A man walking down a rain covered sidewalk."", ""A man in blue jacket and shorts walking on sidewalk."", ""A man with a black hat on walking down the street""]","[""a person walking on a city street near a traffic light"", ""Man walking on rainy street with cars and buildings"", ""A man walking down a rain covered sidewalk."", ""A man in blue jacket and shorts walking on sidewalk."", ""A man with a black hat on walking down the street""]"
553912,000000553912.jpg,http://images.cocodataset.org/train2017/000000553912.jpg,http://farm7.staticflickr.com/6154/6241938740_c425e17bdd_z.jpg,http://creativecommons.org/licenses/by/2.0/,640,478,0.49126562500000004,0.2005439330543933,0.294703125,0.7994560669456067,0.13982740651150627,urban_street,bicycle;car;traffic light;truck,82.398274,"[""LOTS OF PEOPLE AND VEHICLES ON A BUSY CITY STREET"", ""People skateboarding and riding bikes on a city street."", ""A man wearing a jacket walking across a street at a cross walk."", ""A man standing in the crosswalk at a busy intersection"", ""Person in gray hooded jacket attempting t cross busy street.""]","[""LOTS OF PEOPLE AND VEHICLES ON A BUSY CITY STREET"", ""People skateboarding and riding bikes on a city street."", ""A man wearing a jacket walking across a street at a cross walk."", ""A man standing in the crosswalk at a busy intersection"", ""Person in gray hooded jacket attempting t cross busy street.""]"
157269,000000157269.jpg,http://images.cocodataset.org/train2017/000000157269.jpg,http://farm8.staticflickr.com/7416/9414556383_0267859f3b_z.jpg,http://creativecommons.org/licenses/by-nd/2.0/,640,427,0.385953125,0.22779859484777518,0.359015625,0.7722014051522248,0.19168799601141684,urban_street,bus;car;traffic light,81.91688,"[""several men on a street corner repairing a street sign"", ""Three men look at a lamp post on a street corner."", ""There are three men standing together by a pole in the street"", ""a group of people at a street pole attaching a new sign"", ""three men work on a street light""]","[""several men on a street corner repairing a street sign"", ""Three men look at a lamp post on a street corner."", ""There are three men standing together by a pole in the street"", ""a group of people at a street pole attaching a new sign"", ""three men work on a street light""]"
526570,000000526570.jpg,http://images.cocodataset.org/train2017/000000526570.jpg,http://farm9.staticflickr.com/8525/8456287935_14251cfca5_z.jpg,http://creativecommons.org/licenses/by-nc/2.0/,612,612,0.2901797385620915,0.1461764705882353,0.27578431372549017,0.8113235294117647,0.1257696596394549,urban_street,bus;car;traffic light,81.257697,"[""A guy walking with a umbrella on a snowy sidewalk."", ""A pedestrian walks down the snowy street with an umbrella."", ""A man with an umbrella walking down a city street at night."", ""A MAN IS WALKING DOWN A SNOWY SIDEWALK WITH HIS UMBRELLA"", ""Man walking on the sidewalk while holding up an umbrella""]","[""A guy walking with a umbrella on a snowy sidewalk."", ""A pedestrian walks down the snowy street with an umbrella."", ""A man with an umbrella walking down a city street at night."", ""A MAN IS WALKING DOWN A SNOWY SIDEWALK WITH HIS UMBRELLA"", ""Man walking on the sidewalk while holding up an umbrella""]"
157653,000000157653.jpg,http://images.cocodataset.org/train2017/000000157653.jpg,http://farm1.staticflickr.com/150/376943272_5f80c1dfee_z.jpg,http://creativecommons.org/licenses/by-nc-sa/2.0/,640,428,0.262078125,0.22408878504672897,0.459390625,0.7657710280373832,0.22145400646174065,urban_street,car;traffic light;truck,81.21454,"[""A man talking on a cell phone while walking down a street."", ""A man with a cell phone on a city sidewalk."", ""A man with a cell phone to his ear walking down a sidewalk."", ""The back of a man walking on a sidewalk while holding a cell phone to his ear."", ""A man walking down a street with a cell phone up to his ear.""]","[""A man talking on a cell phone while walking down a street."", ""A man with a cell phone on a city sidewalk."", ""A man with a cell phone to his ear walking down a sidewalk."", ""The back of a man walking on a sidewalk while holding a cell phone to his ear."", ""A man walking down a street with a cell phone up to his ear.""]"
34786,000000034786.jpg,http://images.cocodataset.org/train2017/000000034786.jpg,http://farm4.staticflickr.com/3371/3586506567_1f40ee54fb_z.jpg,http://creativecommons.org/licenses/by/2.0/,640,480,0.47528125,0.3480625,0.20056250000000003,0.6519375000000001,0.0926645126953125,urban_street,bus;car;parking meter;traffic light;truck,80.926645,"[""A man dressed as a town fryer walking across the street using a cell phone"", ""An older man in a pirate outfit is walking down the street in a big city while talking on the phone"", ""a man wearing a small pirates hat walks across the street while on his cellphone"", ""The man is wearing a pirate hat, talking on the phone, and walking down the street.""]","[""A man dressed as a town fryer walking across the street using a cell phone"", ""a man dressed in a red jacket and tri point hat walking down the road talking on a cell phone"", ""An older man in a pirate outfit is walking down the street in a big city while talking on the phone"", ""a man wearing a small pirates hat walks across the street while on his cellphone"", ""The man is wearing a pirate hat, talking on the phone, and walking down the street.""]"
34900,000000034900.jpg,http://images.cocodataset.org/train2017/000000034900.jpg,http://farm1.staticflickr.com/124/362140727_a257932179_z.jpg,http://creativecommons.org/licenses/by-nc-nd/2.0/,640,426,0.40834374999999995,0.235962441314554,0.186984375,0.7527934272300469,0.08904872524207746,urban_street,car;traffic light;truck,79.890487,"[""A man has stopped in the middle of the street and his hands are full."", ""A guy standing in the street holding some stuff."", ""A man standing in the street holding papers"", ""a person standing in the street and holding papers"", ""a person walking on a city street near a traffic light""]","[""A man has stopped in the middle of the street and his hands are full."", ""A guy standing in the street holding some stuff."", ""A man standing in the street holding papers"", ""a person standing in the street and holding papers"", ""a person walking on a city street near a traffic light""]"
63650,000000063650.jpg,http://images.cocodataset.org/train2017/000000063650.jpg,http://farm7.staticflickr.com/6095/6241940826_3238fbfb16_z.jpg,http://creativecommons.org/licenses/by/2.0/,640,478,0.003390625,0.3809623430962343,0.21000000000000002,0.6076987447698745,0.08870006929916316,urban_street,car;traffic light;truck,79.887001,"[""two people riding skate boards on a city street"", ""Many people skateboard through an intersection, stopping traffic."", ""These skateboarders need to be careful with all of the street traffic."", ""Skateboarders ride beside people crossing a crowded street."", ""A group of skateboarders riding down a busy street""]","[""two people riding skate boards on a city street"", ""Many people skateboard through an intersection, stopping traffic."", ""These skateboarders need to be careful with all of the street traffic."", ""Skateboarders ride beside people crossing a crowded street."", ""A group of skateboarders riding down a busy street""]"
230996,000000230996.jpg,http://images.cocodataset.org/train2017/000000230996.jpg,http://farm7.staticflickr.com/6083/6032926509_584c7c3ffe_z.jpg,http://creativecommons.org/licenses/by-nc-sa/2.0/,640,426,0.27971875,0.07190140845070422,0.216875,0.8696713615023475,0.08683202978286383,urban_street,car;traffic light;truck,79.86832,"[""A woman crossing the street while it's raining."", ""A woman holding an umbrella walking on a crosswalk."", ""A woman in a skirt and heels crosses a crosswalk while holding an umbrella over her head."", ""a woman with an umbrella and a hand bag crossing an intersection"", ""A woman with an umbrella is hurrying across the street.""]","[""A woman crossing the street while it's raining."", ""A woman holding an umbrella walking on a crosswalk."", ""A woman in a skirt and heels crosses a crosswalk while holding an umbrella over her head."", ""a woman with an umbrella and a hand bag crossing an intersection"", ""A woman with an umbrella is hurrying across the street.""]"
194510,000000194510.jpg,http://images.cocodataset.org/train2017/000000194510.jpg,http://farm8.staticflickr.com/7301/9839136874_407aa87a1a_z.jpg,http://creativecommons.org/licenses/by-nc/2.0/,443,640,0.42546275395033856,0.552078125,0.5743115124153498,0.447921875,0.14638286928611743,urban_street,bus;car;stop sign;traffic light,79.463829,"[""A man standing under a street sign looking at paper."", ""A man standing on a sidewalk under a red no crossing sign."", ""A man looking at a piece of paper under a street sign."", ""A man in blue sweater standing under a street sign.""]","[""A man standing under a street sign looking at paper."", ""A man standing on a sidewalk under a red no crossing sign."", ""A man in blue shirt and neck scarf reading a booklet next to a traffic sign."", ""A man looking at a piece of paper under a street sign."", ""A man in blue sweater standing under a street sign.""]"
