ImageID,scene_hint,scene_score,label_evidence,person_box_area,image_url,OriginalURL,OriginalLandingURL,License,AuthorProfileURL
e7574843621495bd,home,20,Chair; Coffee table; Couch; Furniture; Living room,0.06902100725316612,https://c8.staticflickr.com/6/5186/5603527713_f8279581af_z.jpg,https://c6.staticflickr.com/6/5186/5603527713_4fdd059cc2_o.jpg,https://www.flickr.com/photos/wufoo/5603527713,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/wufoo/
d5b49d2512986551,home,18,Furniture; Home; House,0.08350260290625,https://c6.staticflickr.com/1/80/276654741_3b2d987b13_z.jpg,https://farm2.staticflickr.com/80/276654741_3b2d987b13_o.jpg,https://www.flickr.com/photos/andybee/276654741,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/andybee/
48bd83368a70defc,home,15,Chair; Coffee table; Home; Table,0.09699853143981665,https://c8.staticflickr.com/4/3852/14963871812_76a3ef33ab_z.jpg,https://c5.staticflickr.com/4/3852/14963871812_67d5a1c539_o.jpg,https://www.flickr.com/photos/cezzie901/14963871812,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/cezzie901/
fd1088e194f01b60,home,15,Couch; Living room; Table,0.046142578124999986,https://c2.staticflickr.com/4/3222/2461425480_f2af6f474a_z.jpg,https://farm1.staticflickr.com/3222/2461425480_d47ea25f14_o.jpg,https://www.flickr.com/photos/53743295@N00/2461425480,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/53743295@N00/
9903bb72f8ee1a99,home,12,Furniture; Kitchen; Table,0.15141133244868668,https://c3.staticflickr.com/9/8297/7754973822_309a6dda53_z.jpg,https://c2.staticflickr.com/9/8297/7754973822_28e4c62cf8_o.jpg,https://www.flickr.com/photos/gusilu/7754973822,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/gusilu/
e93a0b0f61cdb76c,home,11,Furniture; Kitchen,0.0802801203415414,https://c3.staticflickr.com/9/8427/7560180750_4b9b2d49b6_z.jpg,https://c5.staticflickr.com/9/8427/7560180750_772d5cbbd3_o.jpg,https://www.flickr.com/photos/statelibraryofvictoria_collections/7560180750,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/statelibraryofvictoria_collections/
28d973ee8659aef7,home,9,Furniture; House; Table,0.28328125153125,https://c3.staticflickr.com/7/6017/5898310719_02ba92a45e_z.jpg,https://farm8.staticflickr.com/6017/5898310719_a1f7895c14_o.jpg,https://www.flickr.com/photos/zenm/5898310719,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/zenm/
bef1d1b7146ead5d,home,9,Kitchen,0.25553382031250005,https://c3.staticflickr.com/4/3598/3459868400_6602f5c4ab_z.jpg?zz=1,https://c6.staticflickr.com/4/3598/3459868400_5b1d091bcb_o.jpg,https://www.flickr.com/photos/mtrichardson/3459868400,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/mtrichardson/
c1030024bf97809c,home,9,Furniture; House; Table,0.044997897054594005,https://c5.staticflickr.com/4/3158/2902147055_dba3efcf3b_z.jpg,https://c5.staticflickr.com/4/3158/2902147055_7e1fce22dd_o.jpg,https://www.flickr.com/photos/yuko_ppp/2902147055,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/yuko_ppp/
16f352b006a890cd,home,8,Chair; Couch; Furniture; Table,0.048242193187500004,https://c2.staticflickr.com/8/7218/7172331523_82a14c43a8_z.jpg,https://c6.staticflickr.com/8/7218/7172331523_3c30c303bc_o.jpg,https://www.flickr.com/photos/apreche/7172331523,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/apreche/
